rang,franska,ordklass,genus,svenska,mening_franska,mening_svenska,bonusord,notering
2515,assaisonner,verb,,att krydda,J'assaisonne généreusement. Toujours.,Jag kryddar generöst. Alltid.,,saison göms i ordet – 'ge smak efter säsong'! l'assaisonnement = kryddningen. Motgiftet mot fade
2516,égoutter,verb,,att låta rinna av,J'égoutte les pâtes. Nuage de vapeur.,Jag häller av pastan. Ångmoln.,,goutte minns du → é-goutter = 'av-droppa'! Passoire + égoutter = durkslagsduon komplett
2517,pétrir,verb,,att knåda,Je pétris la pâte du samedi matin.,Jag knådar lördagsdegen.,,pétrir = degens massage. du pain pétri à la main = handknådat bröd. Terapiform med mjöl
2518,dorer,verb,,att bryna; förgylla,Ça dore au four. Ça sent bon.,Det får färg i ugnen. Det doftar gott.,,or (guld) → dorer = 'förgylla'! se dorer au soleil = sola sig gyllenbrun. faire dorer l'oignon = bryna löken
2519,user,verb,,att slita ut,Les genoux du pantalon : usés. Fierté.,Byxknäna: utslitna. Stolthet.,,Krypandets kvitto! user ses fonds de culotte à l'école = nöta skolbänken. usé = utsliten
2520,gâcher,verb,,att förstöra; slösa bort,Ne gâche pas la surprise !,Förstör inte överraskningen!,,gâcher du temps = slösa tid. un talent gâché = en bortslösad talang. Festförstörarens verb
2521,bâcler,verb,,att slarva ihop,"Vite fait, mais jamais bâclé.","Snabbt gjort, men aldrig slarvigt.",,du travail bâclé = hafsverk. Skillnaden mellan effektiv och slarvig: en hel yrkesheder
2522,peaufiner,verb,,att finslipa,Je peaufine le montage. Encore une heure.,Jag finslipar klippet. En timme till.,,peau (skinn) göms i ordet – putsa med sämskskinn! Perfektionistens ömmaste verb. 'En timme till' = tre
2523,régler,verb,,att lösa; ställa in; betala,C'est réglé !,Det är fixat!,,"TRIPPEL: lösa problem, ställa in apparat, betala nota! réglé comme une horloge minns du – samma familj"
2524,redémarrer,verb,,att starta om,Ça marche ? Non. Redémarre.,Funkar det? Nej. Starta om.,,"IT-supportens universallösning, träffsäkerhet: förbluffande. Quand ça plante (kraschar – ja, samma planter som i trädgården!), on redémarre"
2525,pirater,verb,,att hacka; piratkopiera,Mot de passe : « pirate ». Piraté.,Lösenord: 'pirat'. Hackat.,,"le pirate = piraten och hackaren – samma yrkesgrupp, nya hav. un compte piraté = ett kapat konto"
2526,cadrer,verb,,att rama in (bild); stämma,"Bien cadré, à moitié filmé.","Bra bildutsnitt, halva jobbet gjort.",,cadre minns du → cadrer. DUBBEL: komponera bilden OCH stämma överens: ça ne cadre pas = det går inte ihop
2527,recopier,verb,,"att skriva av, renskriva",Je recopie mes notes. Illisibles.,Jag renskriver mina anteckningar. Oläsliga.,,re + copier. recopier au propre = skriva rent. Anteckningarnas andra chans
2528,relire,verb,,"att läsa om, korrekturläsa",Je relis une dernière fois. Promis.,Jag läser igenom en sista gång. Jag lovar.,,re + lire. se relire = läsa igenom sitt eget. Mejlets 'skicka'-knapp: alltid en relecture för sent
2529,jardiner,verb,,att påta i trädgården,Jardiner calme tout le monde.,Trädgårdsarbete lugnar alla.,,jardin → jardiner. Terapi med jord under naglarna. le jardinage = trädgårdsarbetet
2530,camper,verb,,"att tälta, campa",On campe dans le jardin d'abord. Test.,Vi tältar i trädgården först. Test.,,GRATIS! camper sur ses positions = stå på sig ('slå läger på sin ståndpunkt')! Generalrepetitionen: tio meter hemifrån
2531,skier,verb,,att åka skidor,On skiera ensemble dans quelques années.,Vi åker skidor ihop om några år.,,"ski → skier. Vintersveriges verb. Första gången: mer vurpor än glid, mer skratt än allt"
2532,menacer,verb,,att hota,Le ciel menace. Le pique-nique tremble.,Himlen mulnar. Picknicken darrar.,,GULD-användning: le ciel menace = det ser ut att bli regn! une espèce menacée = en hotad art
2533,signaler,verb,,"att anmäla, påpeka",Je signale un problème. Poliment. D'abord.,Jag påpekar ett problem. Artigt. Först.,,signe-familjen. signaler un bug = rapportera en bugg. rien à signaler = inget att rapportera (RAS!)
2534,rapporter,verb,,att skvallra; inbringa,"Ça rapporte, ce métier ?","Lönar det sig, det där yrket?",,"TRIPPEL: skvallra (rapporteur = skvallerbytta!), ge avkastning OCH lämna tillbaka. Skolgårdens och börsens verb"
2535,se vanter,verb,,att skryta,"Je ne me vante jamais. Enfin, rarement.","Jag skryter aldrig. Nåja, sällan.",,sans me vanter... = utan att skryta... (följs alltid av skryt). Ödmjukhetens kryphål
2536,sous-entendre,verb,,att antyda,"Qu'est-ce que tu sous-entends, exactement ?","Vad antyder du, egentligen?",,sous + entendre = 'höra under'. le sous-entendu = undertonen. Franskans nationalgren: säga utan att säga
2537,épeler,verb,,att bokstavera,Vous pouvez épeler ? V-O-N...,Kan ni bokstavera? V-O-N...,,Svenskt namn i Frankrike = daglig övning. épeler son nom = bokstavera sitt namn. Ö:et förbryllar alltid
2538,réclamer,verb,,"att kräva, pocka på",Kalle réclame son biberon. Fort.,Kalle kräver sin flaska. Högljutt.,,réclamer justice = kräva rättvisa. une réclamation = en reklamation. Bebisens första juridiska handling
2539,supplier,verb,,att bönfalla,Je t'en supplie : dors.,Jag bönfaller dig: sov.,,"Je vous en supplie ! = jag ber er! Föräldrabönens officiella verb, klockan tre på natten"
2540,obéir,verb,,att lyda,Le chat n'obéit jamais. Principe.,Katten lyder aldrig. Av princip.,,obéir aux règles = följa reglerna. Motsats: désobéir. Kattens relation till båda: teoretisk
2541,s'émerveiller,verb,,att förundras,Kalle s'émerveille de tout. Leçon reçue.,Kalle förundras över allt. Läxa mottagen.,,merveilleux-familjen: s'émerveiller = se världen som ny. Bebisar: heltidsfilosofer
2542,paniquer,verb,,att få panik,On ne panique pas. ON NE PANIQUE PAS.,Vi får inte panik. VI FÅR INTE PANIK.,,GRATIS! Pas de panique ! = ingen panik! Versaler: panikens typografi
2543,rêvasser,verb,,att dagdrömma,Je rêvasse à la fenêtre. Réunion importante.,Jag dagdrömmer vid fönstret. Viktigt möte.,,rêve + slarv-ändelsen -asser (paperasse!) = 'smådrömma'. Hjärnans skärmsläckare
2544,somnoler,verb,,"att halvsova, dåsa",Je somnole devant le film. Comme prévu.,Jag halvsover framför filmen. Som väntat.,,sommeil-familjen. Soffans gravitationsfält efter 21: vetenskapligt bevisat. la somnolence = dåsigheten
2545,envier,verb,,att avundas,Je n'envie personne. Sauf ceux qui dorment.,Jag avundas ingen. Utom de som sover.,,envie minns du → envier. Je t'envie ! = vad jag avundas dig! Ärlighetens gröna verb
2546,flatter,verb,,att smickra,Ça me flatte. Continuez.,Det smickrar mig. Fortsätt.,,"Korpen och räven, minns du? flatteur = smickrare. se flatter de = berömma sig av"
2547,séduire,verb,,"att charma, förföra",Ce petit restaurant m'a séduit.,Den lilla restaurangen charmade mig.,,"Bredare än romantik: en idé, en stad, en plan kan séduire! séduisant = tilldragande"
2548,patienter,verb,,att vänta (tålmodigt),Veuillez patienter... [musique],Var god dröj... [musik],,"patience → patienter. Telefonköernas officiella verb. Musiken: alltid samma, aldrig bra"
2549,zapper,verb,,att glömma; zappa,J'ai zappé le rendez-vous. Zéro excuse.,Jag glömde mötet helt. Noll ursäkt.,,GULD-MODERNT: zapper = glömma bort/hoppa över (och TV-zappa)! J'ai complètement zappé ! = det föll helt bort!
2550,accomplir,verb,,"att fullborda, utföra",Mission accomplie !,Uppdraget slutfört!,,"GRATIS-ish (jfr eng. accomplish). un accomplissement = en bedrift. Frasen förtjänas, sedan sägs den högt"
2551,aboutir,verb,,"att lyckas, leda fram",Le projet aboutit enfin !,Projektet ror i land till slut!,,bout (ände) → aboutir = 'nå änden'. aboutir à = leda till. n'aboutir à rien = rinna ut i sanden
2552,entamer,verb,,"att påbörja, ta hål på",On entame la dernière partie !,Vi tar oss an sista delen!,,entamer un fromage = ta hål på en ost. entamer la discussion = inleda samtalet. Första biten: alltid störst
2553,poursuivre,verb,,att fortsätta; förfölja,On poursuit ! Sans pause.,Vi fortsätter! Utan paus.,,suivre-familjen. DUBBEL: fortsätta OCH förfölja/stämma: poursuivre en justice = dra inför rätta!
2554,enchaîner,verb,,att köra vidare direkt,On enchaîne !,Vi kör direkt på nästa!,,"chaîne minns du → enchaîner = 'kedja ihop'. Studions och gymmets verb: ingen paus, nästa övning!"
2555,compléter,verb,,"att komplettera, fylla i",Je complète la liste. Elle grandit.,Jag fyller på listan. Den växer.,,"complet → compléter. compléter une phrase = fylla i en mening. Listor: aldrig färdiga, alltid kompletterade"
2556,nounours,substantiv,m,nalle,Le nounours a déjà un prénom secret.,Nallen har redan ett hemligt namn.,,"un ours → nounours (barnspråkets 'nalle-björn')! Familjemedlem med full status, noll ansvar"
2557,poupée,substantiv,f,docka,La poupée ou le tracteur ? Les deux.,Dockan eller traktorn? Båda.,,de vraies joues de poupée = äkta dockkinder. Leksakslådans demokrati: allt åt alla
2558,cube,substantiv,m,kloss,Une tour de cubes. Démolition immédiate.,Ett klosstorn. Omedelbar rivning.,,Bygga: förälderns jobb. Riva: bebisens. Arbetsfördelningen: icke förhandlingsbar. Skratten: garanterade
2559,chaise haute,uttryck,f,barnstol,La chaise haute : le trône du royaume.,Barnstolen: rikets tron.,,"chaise + haute = 'höga stolen'. Därifrån regeras måltiden: nåd för morot, exil för spenat"
2560,mamie / papi,substantiv,f/m,mormor-farmor / morfar-farfar (vard.),Mamie et Papi arrivent samedi !,Mormor och morfar kommer på lördag!,,"Vardagsformerna av grand-mère/grand-père! Superkrafter: obegränsat tålamod, hemliga kex"
2561,tonton / tata,substantiv,m/f,farbror-morbror / faster-moster (vard.),Tonton arrive toujours avec des cadeaux.,Morbror kommer alltid med presenter.,,Barnspråkets oncle/tante! Tonton: den som lär ut det föräldrarna inte vill. Tradition
2562,fratrie,substantiv,f,syskonskara,Une grande fratrie : bruit et amour.,En stor syskonskara: oljud och kärlek.,,frère-familjen → fratrie = hela syskongruppen. Ordet svenskan saknar och behöver
2563,feutre,substantiv,m,tuschpenna; filt (tyg),Les feutres : bouchons perdus d'avance.,Tuschpennorna: korkarna borta på förhand.,,DUBBEL: tuschpennan OCH filttyget (pennan har filtspets!). bouchon minns du – här är dess öde
2564,gommettes,substantiv,f pl,klistermärken,"Des gommettes PARTOUT. Sol, murs, chat.","Klistermärken ÖVERALLT. Golv, väggar, katt.",,"gomme (sudd/gummi) → gommettes = 'små gummin'. Föräldravarning: de överlever allt, även flytt"
2565,pâte à modeler,uttryck,f,"modellera, lera","La pâte à modeler : moitié œuvre, moitié tapis.","Modelleran: hälften konstverk, hälften matta.",,pâte-familjen växer! modeler = forma. Färgerna blandas till gråbrunt inom en vecka. Alltid
2566,toupie,substantiv,f,snurra,"La toupie tourne, Kalle fixe, le temps s'arrête.","Snurran snurrar, Kalle stirrar, tiden stannar.",,Leksakernas hypnotisör. tourner comme une toupie = snurra som en snurra – fartfylld jämförelse
2567,tirelire,substantiv,f,spargris,La tirelire de Kalle sonne déjà.,Kalles spargris skramlar redan.,,casser sa tirelire = tömma spargrisen (för något stort)! Första ekonomiundervisningen: skramlet
2568,torchon,substantiv,m,kökshandduk,Le torchon vole pendant la vaisselle.,Kökshandduken flyger under disken.,,GULD: le torchon brûle = det är gruff i luften ('handduken brinner')! Kökets väderprognos
2569,chiffon,substantiv,m,trasa,Un chiffon pour la poussière du lundi.,En trasa till måndagsdammet.,,"NYANS: torchon (kök), chiffon (damm), serviette (bord/bad). Franskan sorterar sina tyglappar"
2570,serpillière,substantiv,f,"golvmopp, skurtrasa",La serpillière du samedi. Rituel.,Lördagsmoppen. Ritual.,,passer la serpillière = våttorka golvet. Ordet låter som ödlan den liknar när den släpas
2571,gant de toilette,uttryck,m,tvättlapp,Le gant de toilette : très français.,Tvättlappen: väldigt fransk.,,"KULTURKROCK: fransmän tvättar sig med handske-lapp, svenskar undrar varför. Ingen ändrar sig"
2572,rasoir,substantiv,m,rakhyvel,Le rasoir attend le lundi.,Rakhyveln väntar till måndag.,,GULD-DUBBEL: rakhyveln OCH dötrist: ce film est rasoir ! = filmen är sömnig! Skäggstubb och långtråkighet
2573,élastique,substantiv,m,gummisnodd,Un élastique répare tout. Provisoirement.,En gummisnodd lagar allt. Tillfälligt.,,DUBBEL: snodden OCH adjektivet elastisk. le saut à l'élastique = bungyjump! Ingenjörskonstens plan B
2574,épingle,substantiv,f,knappnål,"Une épingle à nourrice, par sécurité.","En säkerhetsnål, för säkerhets skull.",,épingle à nourrice = 'amnål' (säkerhetsnål!). GULD: tiré à quatre épingles = prickfritt klädd!
2575,aiguille,substantiv,f,nål; visare,Chercher une aiguille dans une botte de foin.,Leta efter en nål i en höstack.,,SAMMA IDIOM som svenskan! Också klockans visare och bergstopp. Le fil rouge (röda tråden!) behöver sin aiguille
2576,punaise,substantiv,f,häftstift; vägglus,Une punaise pour l'affiche. Pas l'insecte.,Ett häftstift till affischen. Inte insekten.,,DUBBEL: häftstiftet OCH vägglusen! Punaise ! = också milt svärord (typ 'sjutton!'). Tre ord i ett
2577,lampe de poche,uttryck,f,ficklampa,La lampe de poche : star des soirs de panne.,Ficklampan: stjärnan vid strömavbrott.,,"lampe + poche = 'ficklampa' – EXAKT samma bygge som svenskan! Två språk, samma logik"
2578,classeur,substantiv,m,pärm,Le classeur des papiers importants. Introuvable.,Pärmen med viktiga papper. Ohittbar.,,classer minns du → classeur. Pärmen finns. Någonstans. Det är tanken som räknas
2579,trombone,substantiv,m,gem; trombon,Un trombone : le bureau ou l'orchestre ?,Ett gem eller en trombon?,l'agrafeuse = häftapparaten,DUBBEL-SKRATT: gemet ser ut som en liten trombon! Kontorets minsta blåsinstrument
2580,surligneur,substantiv,m,överstrykningspenna,Tout surligné = rien surligné.,Allt överstruket = inget överstruket.,,souligner minns du → SURligner = stryka ÖVER (med färg)! Studieteknikens gula fälla
2581,cartouche,substantiv,f,bläckpatron,La cartouche est vide. Encore. Complot ?,Patronen är tom. Igen. Konspiration?,,Skrivarens affärsmodell i ett ord. Också: patron (jakt) och kassett – laddningarnas familj
2582,porte-clés,substantiv,m,nyckelring,Un porte-clés par voyage. Collection.,En nyckelring per resa. Samling.,,"porte- (bär-) + clés: mönstret! porte-monnaie, porte-bonheur... Franskan bygger bärare"
2583,trousse,substantiv,f,necessär; pennfodral,"La trousse de toilette, prête depuis hier.","Necessären, packad sedan igår.",,"trousse de toilette (bad), trousse d'école (pennor), trousse de secours (första hjälpen). Väskan i väskan"
2584,bijou,substantiv,m,smycke,"Un bijou discret, une grande histoire.","Ett diskret smycke, en stor historia.",,"Plural: bijoux (x!). mon bijou = min skatt (smeknamn). bague, collier, bracelet = ring, halsband, armband"
2585,loupe,substantiv,f,förstoringsglas,Une loupe pour lire les contrats.,Ett förstoringsglas för att läsa kontrakten.,,GULD: à la loupe = i minsta detalj: examiner à la loupe = finkamma! Sherlocks och juristens verktyg
2586,boussole,substantiv,f,kompass,La boussole indique le nord. Toujours fiable.,Kompassen pekar norrut. Alltid pålitlig.,,GULD: perdre la boussole = tappa fattningen ('tappa kompassen')! Orienteringens och sansens instrument
2587,tabouret,substantiv,m,pall,Le tabouret : futur escalier de Kalle.,Pallen: Kalles framtida trappa.,,Köksstegen i miniatyr. Barnsäkringens paradox: pallen som hjälper når också det förbjudna
2588,vitre,substantiv,f,fönsterruta,Des traces de doigts sur toutes les vitres.,Fingeravtryck på alla rutor.,,"fenêtre = hela fönstret, vitre = glaset. Bebishänder + rena rutor = fysikaliskt omöjligt"
2589,carreau,substantiv,m,ruta; kakel,"Des carreaux blancs, cuisine classique.","Vitt kakel, klassiskt kök.",,"MULTI: kakelplatta, fönsterruta, ruter (kortspel!) och à carreaux = rutig! Rutans alla liv"
2590,moustiquaire,substantiv,f,myggnät,La moustiquaire : héroïne des nuits d'été.,Myggnätet: sommarnätternas hjältinna.,,"moustique → moustiquaire. Verktygsmönstret -aire/-oir igen! Nordens viktigaste uppfinning, juni–augusti"
2591,couvercle,substantiv,m,lock,Le couvercle a disparu. Comme tous les couvercles.,Locket är borta. Som alla lock.,,"couvrir-familjen. Matlådornas mysterium: burkarna består, locken emigrerar. Vart? Ingen vet"
2592,bocal,substantiv,m,glasburk,Des bocaux de confiture maison sur l'étagère.,Burkar med hemmagjord sylt på hyllan.,,Plural: bocaux. Syltkokningens trofésamling. Också guldfiskens hem: le poisson dans son bocal
2593,thermos,substantiv,m,termos,Le thermos de café : survie suédoise.,Kaffetermosen: svensk överlevnad.,,Svensk uppfinning i själen: utflykt utan termos = ogiltig. Skogsmulle-diplomets grundkrav
2594,fusible,substantiv,m,"säkring, propp",Le fusible saute. Soirée aux bougies.,Proppen går. Kväll i levande ljus.,,GULD: faire sauter les plombs = få proppen att gå – även om humör! Elcentralens drama
2595,toile,substantiv,f,duk; väv; nät,Une toile d'araignée dans le coin. De l'art.,Ett spindelnät i hörnet. Konst.,,"MULTI: målarduk, spindelnät (toile d'araignée), segelduk OCH la Toile = internet ('väven')!"
2596,seuil,substantiv,m,tröskel,Le seuil de la porte : frontière officielle.,Dörrtröskeln: officiell gräns.,,UTTAL: [sœj]. GULD: le seuil de tolérance = toleransgränsen. sur le seuil = på tröskeln – bokstavligt och bildligt
2597,rebord,substantiv,m,"fönsterbräda, kant",Sur le rebord : le basilic et l'espoir.,På fönsterbrädan: basilikan och hoppet.,,bord minns du → rebord = 'kanten på kanten'. le rebord de la fenêtre = fönsterbrädan. Odlingens första scen
2598,écharde,substantiv,f,sticka (i huden),Une écharde dans le doigt. Drame national.,En sticka i fingret. Nationellt drama.,,"Sommarbryggans souvenir. Pincett, lugn röst och en klubba efteråt: standardprotokollet"
2599,charnière,substantiv,f,gångjärn,La charnière grince. Le ninja échoue.,Gångjärnet gnisslar. Ninjan misslyckas.,,GULD: une époque charnière = en brytningstid ('gångjärnstid')! Dörrens och historiens vändpunkter
2600,brioche,substantiv,f,brioche (smörbulle),Une brioche tiède du dimanche matin.,En ljummen brioche på söndagsmorgonen.,,"« Qu'ils mangent de la brioche ! » – Marie-Antoinette sa det aldrig, men citatet överlevde ändå"
2601,pain au chocolat,uttryck,m,chokladcroissant,Pain au chocolat ou chocolatine ? Guerre civile.,Pain au chocolat eller chocolatine? Inbördeskrig.,,"FRANKRIKES FÅNIGASTE KONFLIKT: sydväst säger chocolatine, resten pain au chocolat. Välj sida på egen risk"
2602,millefeuille,substantiv,m,napoleonbakelse,"Le millefeuille : mille couches, zéro dignité en le mangeant.","Napoleonbakelsen: tusen lager, noll värdighet när man äter den.",,mille + feuille = 'tusenblad'! Svenskans napoleonbakelse. Gaffeln förlorar alltid
2603,macaron,substantiv,m,macaron,Des macarons de toutes les couleurs.,Macarons i alla färger.,,Frankrikes sötaste export. OBS: macaron ≠ macaroni! En bokstav skiljer bakverk från pasta
2604,madeleine,substantiv,f,madeleinekaka,"Une madeleine, et les souvenirs remontent.","En madeleinekaka, och minnena väller upp.",,LITTERATUR-GULD: la madeleine de Proust = minnestriggern! Doften som öppnar arkivet – minnesteknik i romanform
2605,quiche,substantiv,f,"quiche, paj",Une quiche lorraine et une salade : dîner réglé.,En quiche lorraine och en sallad: middagen fixad.,,"Från Lorraine, numera världsmedborgare. être une quiche en... = vara hopplös på... (vänlig självironi!)"
2606,ratatouille,substantiv,f,ratatouille,La ratatouille : l'été du sud dans une casserole.,Ratatouille: söderns sommar i en kastrull.,,"touiller = röra om (vard.) göms i namnet! Grönsakernas fredsavtal, uppkallat efter omrörningen"
2607,raclette,substantiv,f,raclette,"Une raclette entre amis, et l'hiver est pardonné.","En raclette med vänner, och vintern är förlåten.",la fondue = fondue,"racler = skrapa – osten skrapas av! Vinterns sociala kontrakt: en maskin, smält ost, långa kvällar"
2608,mayonnaise,substantiv,f,majonnäs,"La mayonnaise maison : trois essais, une réussite.","Hemmagjord majonnäs: tre försök, en succé.",,GULD: la mayonnaise prend ! = det börjar klaffa ('majonnäsen tjocknar')! Kemins och gruppdynamikens mirakel
2609,vinaigrette,substantiv,f,vinägrett,"La vinaigrette maison, évidemment.","Hemmagjord vinägrett, självklart.",,"vinaigre minns du → vinaigrette. Tre delar olja, en del vinäger, noll flaskor från affären: fransk heder"
2610,cornichon,substantiv,m,ättiksgurka,"Des cornichons avec tout, s'il vous plaît.","Ättiksgurkor till allt, tack.",,"GULD-DUBBEL: gurkan OCH en tönt: quel cornichon ! = vilken klantskalle! Burkens innehåll, vänligt förolämpande"
2611,ciboulette,substantiv,f,gräslök,De la ciboulette sur les pommes de terre nouvelles.,Gräslök på färskpotatisen.,,"Svensk sommar på franska! Midsommarens heliga trio: potatis, sill, ciboulette"
2612,aneth,substantiv,m,dill,L'aneth : l'herbe nationale suédoise.,Dillen: Sveriges nationalört.,,Kräftskivans parfym! Fransmän möter aneth i gravlax och undrar. Svenskar undrar hur Frankrike klarar sig utan
2613,vanille,substantiv,f,vanilj,Une glace à la vanille. Le classique des classiques.,En vaniljglass. Klassikernas klassiker.,,"GRATIS! la gousse de vanille = vaniljstången. Smakernas vita t-shirt: enkel, oslagbar"
2614,réglisse,substantiv,f,lakrits,"La réglisse salée : les Français fuient, les Suédois adorent.","Saltlakrits: fransmännen flyr, svenskarna älskar.",,KULTURKROCK-GULD: salmiak är Nordens hemliga vapen. Bjud en fransman – filma reaktionen (med tillåtelse)
2615,cidre,substantiv,m,cider,Du cidre breton avec les crêpes.,Bretonsk cider till crêpesen.,,Bretagne + Normandie = ciderländerna. une bolée de cidre = en skål cider (dricks ur skål!)
2616,déca,substantiv,m,koffeinfritt kaffe,"Un déca, sinon je ne dors pas. Enfin... bref.","Ett koffeinfritt, annars sover jag inte. Fast... äsch.",,décaféiné → déca. Föräldraskämtet skriver sig självt: sömnen styrs av annat än koffein numera
2617,grenadine,substantiv,f,grenadin,"Un sirop de grenadine bien rouge, comme il faut.","En riktigt röd grenadin, som sig bör.",,grenade (granatäpple) → grenadine. Franska barndomens officiella drink. Färgen: omöjlig att missa
2618,galette,substantiv,f,galette (platt kaka),"La galette des rois : tout janvier, chaque année.","Kungakakan: hela januari, varje år.",la fève = bönan/figuren i kakan,DUBBEL: bovetecrêpe (Bretagne) OCH la galette des rois – hittar du la fève blir du kung med couronne! Januaritradition
2619,réservation,substantiv,f,bordsbokning,Une réservation pour deux. Plus une chaise haute.,En bokning för två. Plus en barnstol.,,"GRATIS! réserver une table = boka bord. Tillägget ändrar allt: personalen ler, grannborden byter plats"
2620,comptoir,substantiv,m,bardisk,"Un café au comptoir : moins cher, plus vrai.","En kaffe vid disken: billigare, äkta vara.",,FRANKRIKE-FAKTA: priset är lägre vid comptoir än vid bord! compter göms i ordet – där räknades pengarna
2621,formule,substantiv,f,meny (paketpris),"La formule midi : entrée, plat, dessert.","Lunchmenyn: förrätt, varmrätt, efterrätt.",,"Fransk lunchkultur i ett ord! formule magique = trollformel. Båda förvandlar: den ena dagen, den andra grodor"
2622,bouquet,substantiv,m,bukett,"Un bouquet du jardin, un peu sauvage.","En bukett från trädgården, lite vild.",,GRATIS! GULD: c'est le bouquet ! = det var droppen! Blommor och bägare som rinner över
2623,épine,substantiv,f,"tagg, törne",Pas de rose sans épines.,Ingen ros utan törnen.,,SAMMA ORDSPRÅK som svenskan! GULD: tirer une épine du pied = befria någon ur en knipa ('dra taggen ur foten')
2624,bourgeon,substantiv,m,knopp,Les premiers bourgeons d'avril. Enfin.,Aprils första knoppar. Äntligen.,,bourgeonner = knoppas. Nordens viktigaste månadsskifte: när bourgeons vinner över snön
2625,souche,substantiv,f,stubbe,Dormir comme une souche.,Sova som en stock.,,"SAMMA IDIOM! Franskan sover som stubben OCH som hasselmusen (dormir comme un loir, minns du?). Välj djur eller trä"
2626,gazon,substantiv,m,gräsmatta,Le gazon du voisin est toujours plus vert.,Grannens gräsmatta är alltid grönare.,,SAMMA ORDSPRÅK igen! tondre le gazon = klippa gräset. Avundens botanik: internationell
2627,mauvaise herbe,uttryck,f,ogräs,Les mauvaises herbes gagnent toujours. Respect.,Ogräset vinner alltid. Respekt.,,'Dålig ört' – franskans ärliga ogräsdefinition. pousser comme de la mauvaise herbe = växa som ogräs
2628,pissenlit,substantiv,m,maskros,Des pissenlits partout : du jaune gratuit.,Maskrosor överallt: gratis gult.,,"ETYMOLOGI-SKRATT: pisse-en-lit = 'kissa-i-sängen' – växten är vätskedrivande! Barnen blåser fröna, ovetande om namnet"
2629,ortie,substantiv,f,brännässla,Les orties piquent. La soupe d'orties régale.,Nässlorna bränns. Nässelsoppan gläder.,,Svensk vårklassiker! GULD: jeter aux orties = kasta bort/överge ('slänga i nässlorna')
2630,allée,substantiv,f,"gång, allé",L'allée de gravier chante sous les pas.,Grusgången sjunger under stegen.,le gravier = gruset,aller → allée = 'där man går'. les allées et venues = spring fram och tillbaka
2631,hamac,substantiv,m,hängmatta,Le hamac : projet numéro un de l'été.,Hängmattan: sommarens projekt nummer ett.,,"Från taínofolkets hamaka – ordet seglade med Columbus. Två träd, ett rep, en filosofi"
2632,barbecue,substantiv,m,"grill, grillfest","Un barbecue en avril, sous la neige : Suède.","Grillfest i april, i snöfall: Sverige.",,"GRATIS! Svensk grillsäsong öppnar när kalendern säger vår, oavsett vad himlen säger. Nationalenvishet"
2633,gamelle,substantiv,f,matskål (djur),"La gamelle du chat : vide à midi, scandale à midi une.","Kattens matskål: tom klockan tolv, skandal tolv och en minut.",les croquettes = torrfodret,"GULD-slang: se prendre une gamelle = gå omkull/göra bort sig! Skålen och vurpan, samma ord"
2634,laisse,substantiv,f,koppel,La laisse ? Le chat a dit non.,Kopplet? Katten sa nej.,,"tenir en laisse = hålla i schack. Hundar accepterar, katter processar. Utgången: känd på förhand"
2635,croquettes,substantiv,f pl,torrfoder,"Les croquettes d'abord, les câlins ensuite.","Torrfodret först, myset sedan.",,croquer (knapra) → croquettes = 'knaprisar'! Kattens prioritetsordning: orubblig sedan urminnes tid
2636,niche,substantiv,f,hundkoja; nisch,Le chat ignore la niche du chien. Royalement.,Katten ignorerar hundkojan. Kungligt.,,DUBBEL: hundkojan OCH nischen (une niche de marché = marknadsnisch)! Kojan och affärsidén
2637,velours,substantiv,m,sammet,Une voix de velours à la radio.,En sammetsröst i radion.,,GULD: une voix de velours = sammetsröst – samma bild! velours côtelé = manchester. Mjukhetens kung
2638,soie,substantiv,f,"siden, silke",Doux comme de la soie.,Mjukt som silke.,,la soie dentaire = tandtråd ('tandsilke')! Route de la soie = Sidenvägen. Lyxens tråd
2639,hameçon,substantiv,m,fiskekrok,L'hameçon attend. Le poisson réfléchit.,Kroken väntar. Fisken funderar.,la canne à pêche = metspöet,GULD: mordre à l'hameçon = nappa/gå på finten – samma bild som svenskan! Bryggfiskets kärnutrustning
2640,glacière,substantiv,f,kylväska,La glacière : plus lourde au départ qu'au retour.,Kylväskan: tyngre på ditvägen än hem.,,"glace → glacière. Utflyktens termodynamik: fylld med hopp, tömd med glädje"
2641,bouée,substantiv,f,boj; badring,La bouée canard attend son capitaine.,Badringen med anka väntar på sin kapten.,,DUBBEL: sjömärket OCH badringen! une bouée de sauvetage = livboj – bokstavligt och bildligt
2642,foudre,substantiv,f,blixt(nedslag),La foudre tombe au loin. On compte les secondes.,Blixten slår ner långt bort. Vi räknar sekunderna.,,GULD-IDIOM: le coup de foudre = kärlek vid första ögonkastet ('blixtnedslaget')! Meteorologi och romantik
2643,congère,substantiv,f,snödriva,"Une congère devant la porte. Bonjour, février.","En snödriva framför dörren. God morgon, februari.",,"Vinterns leverans utan beställning. Skotta först, filosofera sedan. Spaden: vinterns viktigaste verktyg"
2644,bonhomme de neige,uttryck,m,snögubbe,Un bonhomme de neige avec Kalle. Bientôt !,En snögubbe med Kalle. Snart!,la boule de neige = snöbollen,'Snögubbe-mannen'. l'effet boule de neige = snöbollseffekten – samma bild! Morotsnäsan: internationell standard
